title	director	rating	votes	year	genre	gross	budget	run-time	actor1	actor1_rank	actor1_sex	actor2	actor2_rank	actor2_sex	actor3	actor3_rank	actor3_sex	actor4	actor4_rank	actor4_sex	actor5	actor5_rank	actor5_sex	actor6	actor6_rank	actor6_sex	plot
Anchorman: The Legend of Ron Burgundy (2004)	Adam (I) McKay	7.2	271579	2004	Comedy	90574188	26000000	98	Kathryn Hahn	279	F	Vince Vaughn	484	M	Paul Rudd	579	M	Seth Rogen	603	M	Will Ferrell	786	M	Christina Applegate	799	F	In 1970s San Diego journalism was a well respected profession and people actually cared about what they saw on TV. And the top rated anchor man in the city is Ron Burgundy. He enjoys his run at the top and has for the last five years. And his news team is equally as good as he is. Professional jock and former professional baseball player Champ Kind handles the sports the curiously dim witted Brick Tamland - who's a few channels short of a cable subscription - handles the weather and ladies' man Brian Fantana - whose collection of fine scents would be in the Guinness Book Of Records - handles the on-field reporting. But now all that is about to change forever. The TV station Burgundy works for Channel 4 has embraced diversity and has hired a beautiful new female anchor named Veronica Corningstone. While Ron Burgundy and the rest of the Channel 4 news team enjoys fighting with competitors drinking and flirting with the ladies Veronica quietly climbs her way to the top. And Veronica's success drives Ron Burgundy crazy. So much that Veronica's meddling causes Ron to get demoted and ultimately lose his job with Channel 6. Now left with nothing Ron must find a way to get back to the top - and that involves a story about a rare Chinese panda giving birth on US soil. Will Ron be the one to report the story on a national level?
New Jack City (1991)	Mario Van Peebles	6.6	24200	1991	Action	47624253	8500000	101	Wesley Snipes	1754	M	Judd Nelson	2588	M	Chris Rock	4182	M	Ice-T	4508	M	Michael Michele	5182	F	Tina Lifford	6341	F	The gangster Nino has a gang who call themselves Cash Money Brothers. They get into the crack business and not before long they make a million dollars every week. A cop Scotty is after them. He tries to get into the gang by letting an ex-drug addict infiltrate the gang but the attempt fails miserably. The only thing that remains is that Scotty himself becomes a drug pusher.
Ironweed (1987)	Hector Babenco	6.8	6384	1987	Drama	7393346	27000000	143	Jack Nicholson	468	M	Meryl Streep	578	F	Ted Levine	1456	M	Fred Gwynne	2082	M	Frank Whaley	2264	M	Michael O'Keefe	3697	M	Albany New York Halloween 1938. Francis Phelan and Helen Archer are bums back in their birth city. She was a singer on the radio he a major league pitcher. Death surrounds them: she's sick a pal has cancer he digs graves at the cemetery and visits the grave of his infant son whom he dropped; visions of his past haunt him including ghosts of two men he killed. That night out drinking Helen tries to sing at a bar. Next day Fran visits his wife and children and meets a grandson. He could stay but decides it's not for him. Helen gets their things out of storage and finds a hotel. Amidst their mistakes and dereliction the film explores their code of fairness and loyalty.
The Secret of Moonacre (2008)	Gabor Csupo	6.2	7818	2008	Adventure	2936694	32000000	103	Tim Curry	85	M	Natascha McElhone	472	F	Augustus Prew	947	M	Dakota Blue Richards	2231	F	Ioan Gruffudd	2290	M	Juliet Stevenson	4366	F	When 13 year old Maria Merryweather's father dies leaving her orphaned and homeless she is forced to leave her luxurious London life to go and live with Sir Benjamin an eccentric uncle she didn't know she had at the mysterious Moonacre Manor. Soon Maria finds herself in a crumbling moonlit world torn apart by the hatred of an ancient feud with the dark and sinister De Noir family. Maria discovers that she is the last Moon Princess and guided by an unlikely mix of allies she must overcome her family's pride in order to unearth the secrets of the past before the 5000th moon rises and Moonacre disappears into the sea forever.
Guinevere (1999)	Audrey (I) Wells	6	2186	1999	Drama	614202	2600000	104	Gina Gershon	1791	F	Sandra Oh	2343	F	Jean Smart	2683	F	Alexandra Holden	3151	F	Stephen Rea	5128	M	Tracy Letts	5897	M	Connie an aging Bohemian photographer meets mousy Harper headed for Harvard Law from a high-powered San Francisco family and immediately sees her beauty. He also guesses she has talent and invites her to be his pupil and share his bed. He's Alfred Stieglitz she's Georgia O'Keefe and he calls her his Guinevere. When she realizes she's the latest Guinevere in a string of ingenues she bolts only to return sick of her family. She's blossoming reading learning but hasn't yet taken her first photograph when he tells her they're going to L.A. broke him drinking too much to sell some photographs. On the trip she finally snaps the shutter; so does her awe and dependence.
Toy Story 2 (1999)	Ash Brannon	7.9	392736	1999	Adventure	485015179	90000000	82	Tom Hanks	68	M	Joan Cusack	519	F	Annie Potts	1554	F	Tim Allen	1846	M	Laurie Metcalf	2078	F	Kelsey Grammer	2612	M	While Andy is away at summer camp Woody has been toynapped by Al McWiggin a greedy collector and proprietor of "Al's Toy Barn"! In this all-out rescue mission Buzz and his friends Mr. Potato Head Slinky Dog Rex and Hamm springs into action to rescue Woody from winding up as a museum piece. They must find a way to save him before he gets sold in Japan forever and they'll never see him again!
Kissing a Fool (1998)	Doug (I) Ellin	5.6	4367	1998	Comedy	4002640	19000000	93	David Schwimmer	263	M	Judy Greer	1242	F	Bonnie Hunt	1320	F	Jason Lee	1568	M	Kari Wuhrer	1915	F	Vanessa Angel	3061	F	Max is a popular local sports broadcaster and his marriage with attractive Sam is already set up. Max is not sure he wants Sam to be his wife and offers his best friend Jay a test: Jay will try to seduce Sam and if he fails Max will have enough trust in Sam to go on with a marriage. Jay refuses but soon they become professionally connected with Sam.
Tucker: The Man and His Dream (1988)	Francis Ford Coppola	6.9	11931	1988	Biography	19652638	23000000	110	Christian Slater	753	M	Jeff Bridges	1089	M	Sofia Coppola	2021	F	Elias Koteas	2548	M	Martin Landau	3567	M	Dean Stockwell	4083	M	Based on a true story. Shortly after World War II Preston Tucker is a grandiose schemer with a new dream to produce the best cars ever made. With the assistance of Abe Karatz and some impressive salesmanship on his own part he obtains funding and begins to build his factory. The whole movie also has many parallels with director Coppola's own efforts to build a new movie studio of his own.
Freeway (1996)	Matthew (I) Bright	6.9	22440	1996	Comedy	295493	3000000	102	Reese Witherspoon	455	F	Kiefer Sutherland	624	M	Brooke Shields	1455	F	Alanna Ubach	2836	F	Dan Hedaya	4079	M	Bokeem Woodbine	4703	M	Little Red Riding Hood for the 1990's: After her mom and step-dad are arrested 15-year-old Vanessa Lutz decides that instead of once again being put into a foster home she'd rather go and search for the grandmother she's never met and live with her. "On the way to grandma's house" (actually a trailer park) Vanessa's car breaks down and she's picked up from the side of the road by Bob Wolverton a counselor at a school for troubled boys. Bob slowly earns Vanessa's trust and eventually convinces her to talk about her sexual abuse at the hands of her stepfather. When Vanessa realizes that Bob is enjoying what she's saying she realizes that he's "The I-5 Killer" from the news. She tries to get out of his truck but the inside door handle has been removed...
North Country (2005)	Niki Caro	7.3	33199	2005	Drama	18324242	35000000	126	Amber Heard	160	F	Charlize Theron	253	F	Michelle Monaghan	364	F	Jeremy Renner	562	M	Woody Harrelson	943	M	Sean Bean	1070	M	1989. Josey Aimes takes her two kids Sammy and Karen and leaves her abusive husband Wayne to return to her northern Minnesota home town. On a chance meeting with her old friend Glory Dodge who works as a driver and union rep at the mine operated by Pearson Taconite and Steel Josey decides to work at the mine as well work that is dominated by men in number and in tone. She does so to be able to stand on her own two feet for the first time in her life something she probably could not have done if she remained in a job washing hair at a beauty salon. Working at the mine does not sit well with her father Hank Aimes who also works at the mine and who like the other male workers believes she is taking a job away from a man. Hank has believed that all Josey's problems are of her own doing ever since she unmarried had Sammy while she was still in high school. Josey has always stated that she does not know who Sammy's biological father is which fosters Hank's attitude about her. Among Josey's coworkers is Bobby Sharp who many believe is Sammy's biological father. Josey's evangelical mother Alice Aimes stands by her husband in their general belief of traditional roles of men and women. Josey and her fellow female mine workers are continually harassed emotionally physically and sexually by their male counterparts. Every seeming step forward in the issue Josey finds is only a measure to lull the women into a false sense of security or to make the fall even harder. Unable to withstand the abuse Josey decides to sue the company for sexual harassment. She does so with the help of Glory and her husband Kyle's friend Bill White an ex-New York lawyer who is facing his own emotional demons. They being able to get any corroboration is difficult as all Josey's male coworkers are standing together and all the women fear retribution by the company and/or their male coworkers after the fact. Even Glory is facing her own issues which prevent her from being that strong union voice. Only a small grain of the truth coming to light may be what Josey and Bill need...
Beastmaster 2: Through the Portal of Time (1991)	Sylvio Tabet	3.8	2321	1991	Action	869325	6000000	107	Kari Wuhrer	1915	F	Michael Berryman	4037	M	Frank Welker	4150	M	James Avery	6963	M	Marc Singer	7425	M	Robert Z'Dar	7681	M	Dar the Beastmaster learns of a previously-unknown half-brother Arklon who plans to conquer the land with the help of a sorceress named Lyranna. Both escape to present day Los Angeles through a dimensional portal. Dar and his animal companions Ruh Kodo Podo and Sharak must follow them through the portal and stop them from obtaining a neutron bomb. During his visit Dar meets a rich girl named Jackie Trent and they become friends.
Van Wilder (2002)	Walt Becker	6.4	90029	2002	Comedy	21005329	6000000	94	Ryan Reynolds	87	M	Aaron Paul	509	M	Sophia Bush	722	F	Tara Reid	971	F	Simon Helberg	1620	M	Kal Penn	1908	M	In certain circles Van Wilder is a living legend at Coolidge College where he's been a student now for seven years not yet having completed his degree requirements. Despite being bright he never attends classes anymore instead hosting parties imparting his brand of wisdom to his adoring fans hosting school organization fundraisers and rallying the college spirit among the student body. Conversely Van loves his Coolidge life. In his antics he has a 2ic in Hutch and always hires a personal assistant this year's being a South Asian transfer student named Taj who wants to learn from the best namely Van. Van's college life is threatened when his wealthy neglectful father only now learns that Van is still in school Wilder Sr. who has been paying his way all this time. As such Wilder Sr. pulls the plug on that subsidy meaning that Van has to figure out a way to pay for his Coolidge life. Because of his living legend status Van becomes the subject of a series of articles by the college paper's star reporter Gwen Pearson an assignment she would rather not do preferring harder hitting material. However in Gwen needing to spend time with Van Richard Bagg Gwen's arrogant fraternity president pre-med boyfriend tries to place Van in a bad light time and time again believing that Gwen and Van are falling for each other. Also in spending time with Gwen Van may come to a true understanding of why he has stayed at Coolidge for such a long time and what he should be looking for in his future.
Battlefield Earth (2000)	Roger (I) Christian	2.4	65969	2000	Action	8253978	73000000	95	John Travolta	644	M	Kelly Preston	1203	F	Forest Whitaker	1800	M	Kim Coates	2000	M	Barry Pepper	2739	M	Richard Tyson	5651	M	In the year 3000 humanity is no match for the Psychlos a greedy manipulative race on a quest for ultimate profit. Led by the seductive and powerful Terl the Psychlos are stripping Earth of its resources using the broken remnants of humanity as slaves. What is left of the human race has reverted to a primitive state believing the invaders to be demons and technology to be evil. After humanity has all but given up any hope of freeing themselves from alien oppression a young man named Tyler decides to leave his desolate home high in the Rocky Mountains to discover the truth whereupon he is captured and enslaved. It is then that he decides to fight back leading his fellow man in one final struggle for freedom.
Three O'Clock High (1987)	Phil Joanou	7.2	8239	1987	Comedy	3685862	6000000	90	Jeffrey Tambor	2436	M	Paul Feig	2800	M	Richard Tyson	5651	M	Mitch Pileggi	5727	M	Yeardley Smith	5942	F	Brian Andrews	6195	M	A high school nerd Jerry Mitchell (Siemaszko) is assigned to write a piece for the school paper about new boy Buddy Revell (Tyson) who is rumored to be a psychopathic nutcase. When Jerry accidentally touches Buddy he says that they must fight in the parking lot at 3pm. Jerry will just about do anything to avoid the confrontation.
Avatar (2009)	James (I) Cameron	7.9	899530	2009	Action	2787965087	237000000	178	Zoe Saldana	121	F	Stephen Lang	454	M	Sigourney Weaver	580	F	Sam Worthington	849	M	Alicia Vela-Bailey	1369	F	Giovanni Ribisi	1903	M	When his brother is killed in a robbery paraplegic Marine Jake Sully decides to take his place in a mission on the distant world of Pandora. There he learns of greedy corporate figurehead Parker Selfridge's intentions of driving off the native humanoid "Na'vi" in order to mine for the precious material scattered throughout their rich woodland. In exchange for the spinal surgery that will fix his legs Jake gathers intel for the cooperating military unit spearheaded by gung-ho Colonel Quaritch while simultaneously attempting to infiltrate the Na'vi people with the use of an "avatar" identity. While Jake begins to bond with the native tribe and quickly falls in love with the beautiful alien Neytiri the restless Colonel moves forward with his ruthless extermination tactics forcing the soldier to take a stand - and fight back in an epic battle for the fate of Pandora.
Hide and Seek (2005)	John Polson	5.9	71010	2005	Drama	122650962	30000000	101	Dakota Fanning	166	F	Robert De Niro	300	M	Famke Janssen	304	F	Elisabeth Shue	635	F	Robert John Burke	3800	M	Dylan Baker	5394	M	Hide and Seek revolves around a widower and his daughter. They move to upstate and Emily soon creates an imaginary friend named Charlie... but this act takes an unexpected and terrifying turn where her father and doctor start to worry about Emily's gruesome habits.
Final Fantasy: The Spirits Within (2001)	Hironobu Sakaguchi	6.4	73300	2001	Action	85131830	137000000	106	Alec Baldwin	1207	M	Steve Buscemi	1362	M	Ming-Na Wen	1591	F	Donald Sutherland	1842	M	James Woods	1965	M	Keith David	2222	M	In the year 2065 the next great assault against an invading race of phantom-like aliens is about to be launched. Dr. Aki Ross a brilliant young scientist races to find the invaders' secrets not only to save the planet but herself as well after her body is infected by alien particles. She teams up with the prestigious Deep Eyes military squadron led by her old friend Grey Edwards. But as Aki her mentor Dr. Sid and Grey work toward a peaceful end the scheming General Hein devises a plot to eradicate the aliens in one swift destructive blow...even if it destroys the Earth right along with them.
Titanic (1997)	James (I) Cameron	7.7	806858	1997	Drama	2186772302	200000000	194	Leonardo DiCaprio	38	M	Kate Winslet	492	F	James Cameron	1292	M	Billy Zane	1407	M	Bill Paxton	2225	M	Ioan Gruffudd	2290	M	84 years later a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert Brock Lovett Lewis Bodine Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912 on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother Ruth DeWitt Bukater and her fiancé Caledon Hockley. Meanwhile a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th 1912 at 2:20 in the morning.
