title	director	rating	votes	year	genre	gross	budget	run-time	actor1	actor1_rank	actor1_sex	actor2	actor2_rank	actor2_sex	actor3	actor3_rank	actor3_sex	actor4	actor4_rank	actor4_sex	actor5	actor5_rank	actor5_sex	actor6	actor6_rank	actor6_sex	plot
Beer League (2006)	Frank Sebastiano	6	6974	2006	Comedy	475000	2800000	86	Ralph Macchio	243	M	Cara Buono	908	F	Tina Fey	1510	F	Laurie Metcalf	2078	F	Joe Lo Truglio	5103	M	Artie Lange	8239	M	Beer broads and baseball: a group of misfits whose weekly softball games seem to have a lot more to do with getting into fights for macho dominance than hitting home runs. Artie is an unemployed and unmotivated drunk that is predictably still living with his mother. He is on a losing softball team and he and his teammates are facing the end of softball as they know it if they can't pull it together. When love enters his life it unexpectedly alters Artie's low self-esteem and the odds for winning not only the league trophy but a new life are certainly looking up. He and his teammates will have to go for the win.
A Man Apart (2003)	F. Gary Gray	6.1	38789	2003	Action	44350926	36000000	109	Vin Diesel	206	M	Timothy Olyphant	715	M	Jeff Kober	1168	M	Jacqueline Obradors	4483	F	Alice Amter	5036	F	Emilio Rivera	6964	M	Sean Vetter and Demetrius Hicks are members of the DEA who are fighting an ongoing drug war on the California/Mexico border they are most successful at it because of their edge of growing up on the street and being thugs converted to cops. The DEA busts one of the major players by the name of "Memo" Lucero and imprison him in the United States but then a major player named Diablo then takes over the business and now he is now the major player targeted by Vetter and his team. But when Vetter's wife is killed in a botched hit organized by Diablo he seeks revenge against those responsible and in the process has to seek help from the imprisoned Lucero in order to catch Diablo. But in the process Vetter and Hicks have to fight their way up the chain to get to Diablo but it's easier said than done when all Vetter can focus on is revenge...
The Intern (2015/I)	Nancy (I) Meyers	7.2	142437	2015	Comedy	194564672	35000000	121	Robert De Niro	300	M	Anne Hathaway	344	F	Christine Evangelista	573	F	Adam Devine	655	M	Rene Russo	1332	F	Anders Holm	2387	M	A retired 70-year-old widower Ben (played by Robert De Niro) is bored with retired life. He applies to a be a senior intern at an online fashion retailer and gets the position. The founder of the company is Jules Ostin (Anne Hathaway) a tireless driven demanding dynamic workaholic. Ben is made her intern but this is a nominal role - she doesn't intend to give him work and it is just window dressing. However Ben proves to be quite useful and more than that a source of support and wisdom.
Lilo & Stitch (2002)	Dean DeBlois	7.2	119860	2002	Adventure	273144151	80000000	85	Daveigh Chase	1450	F	Tia Carrere	1753	F	David Ogden Stiers	2638	M	Greg Finley	2717	M	Ving Rhames	3139	M	Jason Scott Lee	4443	M	In a place far far away illegal genetic experiment #626 is detected: Ruthless scientist Dr. Jumba Jookiba has created a strong intelligent nearly indestructible and aggressive being with only one known weakness: The high density of his body makes it impossible for the experiment to swim in water. The scientist is sentenced to jail by the Grand Council of the Galactic Federation. The experiment is supposed to be transported to a prison asteroid yet manages to escape Captain Gantu who was supposed to deliver him there. With a stolen police cruiser (the red one) the destructive being races towards a little and already doomed planet: Earth. Stranded on Hawaii experiment #626 can't actually do much harm: water all around no big cities and two well-equipped representatives of the Galactic Federation already following close behind to catch him again. But Dr. Jookiba and the Earth expert Pleakley never could have guessed that earth girl Lilo adopts the experiment as dog gives him the name Stitch and actually causes an emotional development in the little beast. Her dysfunctional family consisting only of Lilo and her sister Nani is about to be ripped apart by social worker Cobra Bubbles. Stitch as the new family member brings quite some action into all their lifes and after a while not even Pleakley and Dr. Jookiba can recognize their former target. But how shall they bring the news of failure to the Grand Councilwoman without being punished?
Ocean's Thirteen (2007)	Steven Soderbergh	6.9	260396	2007	Crime	311312624	85000000	114	Brad Pitt	91	M	Matt Damon	268	M	Al Pacino	510	M	George Clooney	682	M	Casey Affleck	858	M	Ellen Barkin	1364	F	The last time we saw Danny Ocean's crew they were paying back ruthless casino mogul Terry Benedict after stealing millions from him. However it's been a while since they've come back together which is all about to change. When one of their own Reuben Tishkoff builds a hotel with another casino owner Willy Bank the last thing he ever wanted was to get cut out of the deal personally by the loathsome Bank. Bank's attitude even goes so far as to finding the amusement in Tishkoff's misfortune when the double crossing lands Reuben in the hospital because of a heart attack. However Danny and his crew won't stand for Bank and what he's done to a friend. Uniting with their old enemy Benedict who himself has a vendetta against Bank the crew is out to pull off a major plan; one that will unfold on the night Bank's newest hot spot opens up. They're not in this for the money but for the revenge.
Arthur et la vengeance de Maltazard (2009)	Luc Besson	5.3	5565	2009	Adventure	51741693	65000000	93	Selena Gomez	661	F	Logan Miller	890	M	Freddie Highmore	987	M	Jimmy Fallon	2308	M	Mia Farrow	2340	F	Omar Sy	2430	M	Arthur did as a boy what only grandpa a fellow nature buff did as an adult: pass as white man the Bogo tribe's tests of harmony with the natural worlds of trees minerals and animals. To answer a mysterious call fro help from the Mimimoy people he enters their world miniaturized. By the time he works out with friends it was a trick the mastermind has already escaped ready to strike in our world.
Rescue Dawn (2006)	Werner Herzog	7.3	85525	2006	Adventure	7177143	10000000	120	Christian Bale	247	M	Steve Zahn	2600	M	Jeremy Davies	3238	M	Toby Huss	6611	M	Evan Jones	7058	M	Pat Healy	7577	M	In 1965 while bombing Laos in a classified mission the propeller plane of the German-American US Navy pilot Dieter Dengler is hit and crashes in the jungle. Dieter is arrested by the peasants tortured by the Vietcong and sent to a prisoner camp where he meets five other mentally deranged prisoners and guards. He becomes close to Duane and organizes an escape plan; however the unstable Gene opposes to Dieter's plan. When they discover that there is no more food due to the constant American bombings in the area and their guards intend to kill them Dieter sets his plan in motion. However an unexpected betrayal splits the group and Dieter and Duane find that the jungle is their actual prison.
Blown Away (1994)	Stephen (I) Hopkins	6.2	23376	1994	Action	30155037	50000000	121	Jeff Bridges	1089	M	Tommy Lee Jones	1444	M	Forest Whitaker	1800	M	Cuba Gooding Jr.	1948	M	Suzy Amis	5108	F	Lloyd Bridges	6294	M	Jimmy Dove works for the bomb squad in Boston and he is always the one who is on the tough jobs. One day he decides to quit the force and to become a teacher for the rookies of the squad. A few days later his former partner is killed by a bomb and Jimmy becomes suspicious that maybe this bomb could have been built by a former friend of himself. He begins to investigate and finds out that his worst nightmare has returned from his past.
Step Up 3D (2010)	Jon M. Chu	6.2	47966	2010	Drama	159291809	30000000	107	Kathy Najimy	333	F	Robin Lord Taylor	530	M	Alyson Stoner	1331	F	Sharni Vinson	2525	F	Beau Casper Smart	4077	M	Harry Shum Jr.	4392	M	A tight-knit group of New York City street dancers including Luke (Malambri) and Natalie (Vinson) team up with NYU freshman Moose (Sevani) and find themselves pitted against the world's best hip hop dancers in a high-stakes showdown that will change their lives forever.
Firewall (2006)	Richard Loncraine	5.8	50496	2006	Crime	82751189	50000000	105	Harrison Ford	471	M	Virginia Madsen	505	F	Nikolaj Coster-Waldau	677	M	Paul Bettany	1051	M	Robert Patrick	1294	M	Jimmy Bennett	2386	M	With his family held for ransom the head security executive for a global bank is commanded to loot his own business for millions in order to ensure his wife and children's safety. He then faces the demanding task of thwarting the kidnapper's grand scheme which makes him look guilty of embezzlement.
I Still Know What You Did Last Summer (1998)	Danny (I) Cannon	4.6	56185	1998	Horror	84002112	24000000	100	Jennifer Love Hewitt	357	F	Jack Black	985	M	Freddie Prinze Jr.	1305	M	Jennifer Esposito	1325	F	Jeffrey Combs	2345	M	Mekhi Phifer	3333	M	Julie's back in college with her new friend and they win a weekend trip to an island. On the way there someone dies and then the girls are tormented on the island.
The Tuxedo (2002)	Kevin (III) Donovan	5.3	63024	2002	Action	104391623	60000000	98	Jennifer Love Hewitt	357	F	Jackie Chan	859	M	Peter Stormare	1137	M	Jason Isaacs	1540	M	Debi Mazar	2116	F	Bob Balaban	3964	M	Jimmy Tong is just a lowly chauffeur for millionaire Clark Devlin until Devlin has an accident that puts him in the hospital. Tong is sent back to fetch some things for Devlin and unknowingly tries on Devlin's tuxedo and finds that it gives extraordinary powers to anyone that dons the suit. This discovery thrusts Tong into world of international intrigue and espionage and pairs him with an inexperienced partner.
The Mummy: Tomb of the Dragon Emperor (2008)	Rob (I) Cohen	5.2	119641	2008	Action	401128639	145000000	112	Maria Bello	312	F	Brendan Fraser	980	M	Jet Li	2157	M	Michelle Yeoh	3286	F	John Hannah	4269	M	Liam Cunningham	4377	M	Centuries ago the evil Emperor Han was cursed by the sorceress Zi Yuan who transformed him and his army into mummies. In 1946 the explorer Rick O'Connell and his wife Evelyn O'Connell are invited by the British government to take a relic the diamond "The Eye of Shangri-La" to China. The ancient stone is capable of resurrecting the Emperor Han and of pointing the way to Shangri-La and the eternal pool of life. When the couple reaches China they meet their son Alex O'Connell who has discovered the tomb of Han and Evelyn's brother Jonathan Carnahan. The O'Connells are betrayed by their friend Prof. Roger Wilson who is associated with General Yang. Yang wants to serve Emperor Han so he resurrects the mummy and they head for Shangri-La. The guardian of Han's tomb (and Zi's daughter) Lin tells them that the only ways to destroy Han are to prevent him from reaching Shangri-La or by stabbing his heart with a cursed dagger.
Green Lantern (2011)	Martin (I) Campbell	5.6	226014	2011	Action	219851172	200000000	114	Ryan Reynolds	87	M	Blake Lively	103	F	Mark Strong	1139	M	Taika Waititi	1219	M	Angela Bassett	1259	F	Peter Sarsgaard	1293	M	In a mysterious universe an elite defense force of peace and justice have existed for centuries. Cocky test pilot Hal Jordan acquires superhuman powers when he is chosen by "the Ring" the willpower-fed source of power of the Green Lantern Corps. Reluctantly at first he takes on the challenges these other superheroes face. Putting his self-doubts aside and spurred on by his sense of duty and love for his beautiful intellectually equal colleague Carol Ferris he is soon called to defend mankind from Parallax a powerful evil being who feeds on fear. He is the universe's last chance as many Green Lanterns have been killed and the Corps is weakened. And he might just be the right Green Lantern for the job of keeping the world safe from harm. Based on the characters of DC Comics series "Green Lantern".
