title,director,rating,votes,year,genre,gross,budget,run-time,actor1,actor1_rank,actor1_sex,actor2,actor2_rank,actor2_sex,actor3,actor3_rank,actor3_sex,actor4,actor4_rank,actor4_sex,actor5,actor5_rank,actor5_sex,actor6,actor6_rank,actor6_sex
Vacation (2015/I),John Francis Daley,6.1,69537,2015,Adventure,104884188,31000000,99,Norman Reedus,63,M,Chris Hemsworth,133,M,Christina Applegate,799,F,Kaitlin Olson,1014,F,Nick Kroll,1069,M,John Francis Daley,1323,M
The Longshots (2008),Fred Durst,5.1,3199,2008,Biography,11508423,23000000,94,Keke Palmer,1439,F,Ice Cube,1833,M,Debby Ryan,1955,F,Chloe Bridges,2650,F,Kofi Siriboe,3627,M,Jill Marie Jones,4120,F
McFarland USA (2015),Niki Caro,7.4,24585,2015,Biography,44469602,17000000,129,Maria Bello,312,F,Kevin Costner,716,M,Morgan Saylor,2547,F,Diana Maria Riva,4367,F,Martha Higareda,6610,F,Vincent Martella,7343,M
Surf's Up (2007),Ash Brannon,6.8,54730,2007,Animation,149044513,100000000,85,Shia LaBeouf,222,M,Zooey Deschanel,372,F,Johanna Braddy,768,F,Jeff Bridges,1089,M,Diedrich Bader,1618,M,James Woods,1965,M
RocketMan (1997),Stuart Gillard,5.9,7355,1997,Comedy,15448043,16000000,95,Shelley Duvall,1115,F,Jeffrey DeMunn,3276,M,William Sadler,3966,M,Harland Williams,5015,M,Beau Bridges,5017,M,James Pickens Jr.,6146,M
Waterworld (1995),Kevin (I) Reynolds,6.1,146339,1995,Action,264218220,175000000,176,Kevin Costner,716,M,Jack Black,985,M,Tina Majorino,1195,F,Kim Coates,2000,M,Jeanne Tripplehorn,2922,F,Dennis Hopper,3103,M
Easy A (2010),Will Gluck,7.1,281750,2010,Comedy,74952305,8000000,92,Penn Badgley,605,M,Aly Michalka,750,F,Johanna Braddy,768,F,Thomas Haden Church,1103,M,Cam Gigandet,1230,M,Lisa Kudrow,1324,F
Planes Trains & Automobiles (1987),John (I) Hughes,7.6,91503,1987,Comedy,49530280,30000000,93,John Candy,652,M,Kevin Bacon,877,M,Steve Martin,1225,M,Matthew Lawrence,3415,M,Michael McKean,3815,M,Dylan Baker,5394,M
Restoration (1995),Michael (I) Hoffman,6.7,7680,1995,Biography,4100000,19000000,117,Robert Downey Jr.,290,M,Sam Neill,1192,M,Ian McKellen,1388,M,Hugh Grant,1575,M,Ian McDiarmid,1851,M,David Thewlis,1949,M
The Joy Luck Club (1993),Wayne Wang,7.6,12636,1993,Drama,32861136,11000000,139,Andrew McCarthy,1508,M,Ming-Na Wen,1591,F,Tamlyn Tomita,4863,F,Rosalind Chao,5779,F,Victor Wong,8185,M,France Nuyen,8271,F
Chloe (2009),Atom Egoyan,6.3,57040,2009,Drama,3074838,11000000,96,Nina Dobrev,44,F,Amanda Seyfried,470,F,Liam Neeson,570,M,Julianne Moore,818,F,Max Thieriot,2052,M,Meghan Heffern,8898,F
A History of Violence (2005),David Cronenberg,7.5,189214,2005,Crime,31493782,32000000,96,Ed Harris,256,M,Viggo Mortensen,270,M,Maria Bello,312,F,William Hurt,1334,M,Stephen McHattie,5236,M,Kyle Schmid,5314,M
Nanny McPhee and the Big Bang (2010),Susanna (I) White,6.1,19689,2010,Comedy,97799865,35000000,109,Ewan McGregor,141,M,Asa Butterfield,403,M,Ralph Fiennes,512,M,Maggie Gyllenhaal,1282,F,Rhys Ifans,2094,M,Nonso Anozie,3965,M
Baby's Day Out (1994),Patrick Read Johnson,5.9,33845,1994,Adventure,27371505,50000000,99,Lara Flynn Boyle,1117,F,Cynthia Nixon,3142,F,Joe Pantoliano,3195,M,Neil Flynn,3404,M,Joe Mantegna,4579,M,Matthew Glave,6348,M
American Beauty (1999),Sam (I) Mendes,8.4,837628,1999,Drama,356296601,15000000,122,Thora Birch,7,F,Wes Bentley,558,M,Kevin Spacey,726,M,Mena Suvari,778,F,Allison Janney,862,F,Annette Bening,1297,F
Imagine Me & You (2005),Ol Parker,6.9,23427,2005,Comedy,671240,7900000,90,Piper Perabo,21,F,Lena Headey,276,F,Matthew Goode,857,M,Ben Miles,2406,M,Celia Imrie,3584,F,Anthony Head,4400,M
The Crow (1994),Alex Proyas,7.6,138630,1994,Action,94000000,23000000,97,Michael Massee,198,M,Michael Wincott,522,M,Bai Ling,1637,F,Ernie Hudson,1796,M,Brandon Lee,1831,M,Jon Polito,2321,M
Swing Vote (2008),Joshua Michael Stern,6.1,15210,2008,Comedy,16284360,21000000,120,Paula Patton,259,F,Kevin Costner,716,M,Stanley Tucci,1523,M,Nana Visitor,2389,F,Kelsey Grammer,2612,M,Mare Winningham,2944,F
Deuces Wild (2002),Scott Kalvert,5.6,6240,2002,Action,6044618,10000000,100,Norman Reedus,63,M,James Franco,192,M,Fairuza Balk,418,F,Drea de Matteo,1427,F,Matt Dillon,2280,M,Frankie Muniz,2304,M
Capitalism: A Love Story (2009),Michael (II) Moore,7.4,35642,2009,Crime,14359793,20000000,127,Arnold Schwarzenegger,382,M,Michael Moore,1789,M,Bela Lugosi,2491,M,Wallace Shawn,3050,M,Ronald Reagan,4241,M,Barack Obama,5808,M
Sylvia (2003),Christine Jeffs,6.3,9020,2003,Biography,1302242,7000000,114,Daniel Craig,314,M,Jared Harris,675,M,Gwyneth Paltrow,1150,F,Michael Gambon,1352,M,Blythe Danner,3335,F,Amira Casar,8475,F
Forget Paris (1995),Billy Crystal,6.4,9550,1995,Comedy,33194500,21000000,101,Debra Winger,1449,F,Clint Howard,1747,M,Cathy Moriarty,2427,F,Billy Crystal,2965,M,Richard Masur,3159,M,Dan Castellaneta,3285,M
Storage 24 (2012),Johannes Roberts,4.4,5606,2012,Horror,646175,2000000,87,Colin O'Donoghue,533,M,Amy Pemberton,3143,F,Noel Clarke,3867,M,Ned Dennehy,4702,M,Alex Price,6614,M,Antonia Campbell-Hughes,8121,F
Labyrinth (1986),Jim (I) Henson,7.4,96851,1986,Adventure,12729917,25000000,101,Jennifer Connelly,229,F,Warwick Davis,1942,M,David Bowie,2808,M,Frank Oz,4329,M,Kenny Baker,5451,M,Danny John-Jules,6741,M
My Best Friend's Girl (2008),Howard Deutch,5.9,37407,2008,Comedy,41622502,40000000,101,Lizzy Caplan,193,F,Alec Baldwin,1207,M,Taran Killam,1395,M,Malcolm Barrett,2207,M,Nate Torrence,2411,M,Diora Baird,2694,F
I Smile Back (2015),Adam Salky,6.1,3595,2015,Drama,57678,495000,85,Chris Sarandon,674,M,Oona Laurence,1680,F,Sarah Silverman,1953,F,Josh Charles,2031,M,Thomas Sadoski,3956,M,Billy Magnussen,6421,M
From Dusk Till Dawn 2: Texas Blood Money (1999) (V),Scott (I) Spiegel,4,13038,1999,Crime,1166225,5000000,110,Bruce Campbell,700,M,Danny Trejo,851,M,Tiffani Thiessen,1272,F,Robert Patrick,1294,M,Kevin Smith,1397,M,Raymond Cruz,5043,M
The Company Men (2010),John (III) Wells,6.8,37090,2010,Drama,4439063,15000000,104,Ben Affleck,81,M,Maria Bello,312,F,Kevin Costner,716,M,Tommy Lee Jones,1444,M,Rosemarie DeWitt,1504,F,Craig T. Nelson,3081,M
House Arrest (1996),Harry (I) Winer,5.7,6628,1996,Comedy,6970578,5000000,108,Jamie Lee Curtis,105,F,Jennifer Love Hewitt,357,F,Jennifer Tilly,840,F,Kevin Pollak,2766,M,Wallace Shawn,3050,M,Christopher McDonald,4682,M
Fathers & Daughters (2015),Gabriele Muccino,7.1,12196,2015,Drama,3108333,22400000,116,Diane Kruger,386,F,Amanda Seyfried,470,F,Aaron Paul,509,M,Russell Crowe,633,M,Jane Fonda,1545,F,Ryan Eggold,1678,M
Fire in the Sky (1993),Robert (I) Lieberman,6.5,16390,1993,Biography,20100000,15000000,109,Henry Thomas,571,M,Robert Patrick,1294,M,Peter Berg,2326,M,James Garner,2567,M,Craig Sheffer,3782,M,D.B. Sweeney,5086,M
American Dreamz (2006),Paul (I) Weitz,5.5,22746,2006,Comedy,14560987,17000000,107,Shohreh Aghdashloo,567,F,Judy Greer,1242,F,Willem Dafoe,1564,M,Jennifer Coolidge,1574,F,Hugh Grant,1575,M,Dennis Quaid,1751,M
Bullet to the Head (2012),Walter (I) Hill,5.7,39702,2012,Action,9483821,55000000,92,Jason Momoa,216,M,Sylvester Stallone,224,M,Sarah Shahi,659,F,Christian Slater,753,M,Adewale Akinnuoye-Agbaje,2036,M,Jon Seda,3978,M
Gran Torino (2008),Clint Eastwood,8.2,571003,2008,Drama,269958228,33000000,116,Clint Eastwood,267,M,Scott Eastwood,494,M,John Carroll Lynch,2155,M,Dreama Walker,3487,F,Ahney Her,6621,F,Brian Haley,7934,M
Storks (2016),Nicholas Stoller,7.1,5618,2016,Adventure,21311407,70000000,87,Jennifer Aniston,177,F,Danny Trejo,851,M,Ike Barinholtz,1028,M,Andy Samberg,1151,M,Ty Burrell,2144,M,Kelsey Grammer,2612,M
The Smurfs (2011),Raja Gosnell,5.5,67496,2011,Adventure,563749323,110000000,103,Katy Perry,92,F,Anton Yelchin,328,M,Neil Patrick Harris,854,M,Paul Reubens,1957,M,Alan Cumming,2140,M,Jayma Mays,2699,F
Beyond Borders (2003),Martin (I) Campbell,6.5,22815,2003,Adventure,4426297,35000000,127,Angelina Jolie,210,F,Teri Polo,1289,F,Clive Owen,1495,M,Kate Ashfield,2738,F,Linus Roache,3147,M,Noah Emmerich,4019,M
Inside Out (2015/I),Ronnie Del Carmen,8.2,367327,2015,Adventure,857611174,175000000,95,Rashida Jones,967,F,Amy Poehler,1275,F,Bill Hader,1357,M,Mindy Kaling,2098,F,Kyle MacLachlan,2180,M,John Ratzenberger,3294,M
Jimmy Hollywood (1994),Barry (I) Levinson,5.3,2620,1994,Comedy,3692874,30000000,112,Harrison Ford,471,M,Christian Slater,753,M,Joe Pesci,1785,M,Jason Beghe,4489,M,Robert LaSardo,4690,M,Richard Kind,5053,M
Lymelife (2008),Derick Martini,7,12955,2008,Comedy,429307,1500000,95,Alec Baldwin,1207,M,Rory Culkin,1856,M,Cynthia Nixon,3142,F,Kieran Culkin,3528,M,Timothy Hutton,3892,M,Jill Hennessy,4244,F
The Reader (2008),Stephen Daldry,7.6,192318,2008,Drama,113019290,32000000,124,Kate Winslet,492,F,Ralph Fiennes,512,M,Alexandra Maria Lara,3172,F,Lena Olin,3869,F,Bruno Ganz,4943,M,Karoline Herfurth,8059,F
The Hunger Games: Mockingjay - Part 2 (2015),Francis (II) Lawrence,6.6,178761,2015,Adventure,653428261,160000000,137,Sam Claflin,164,M,Natalie Dormer,181,F,Jena Malone,496,F,Mahershala Ali,541,M,Liam Hemsworth,594,M,Gwendoline Christie,725,F
Be Cool (2005),F. Gary Gray,5.7,59812,2005,Comedy,95226116,53000000,118,Dwayne Johnson,242,M,Arielle Kebbel,445,F,Vince Vaughn,484,M,John Travolta,644,M,Kimberly J. Brown,717,F,Uma Thurman,822,F
American Me (1992),Edward James Olmos,7.2,5984,1992,Biography,13086430,16000000,125,Jacob Vargas,3739,M,William Forsythe,3922,M,Edward James Olmos,3987,M,Cary-Hiroyuki Tagawa,5085,M,William Smith,5339,M,Eric Close,7083,M
Left Behind (2014/I),Vic Armstrong,3.1,25632,2014,Action,6300147,16000000,110,Nicolas Cage,203,M,Chad Michael Murray,611,M,Cassi Thomson,4148,F,William Ragsdale,4380,M,Martin Klebba,8865,M,Major Dodson,8979,M
What's Your Number? (2011),Mark Mylod,6,59749,2011,Comedy,14008193,20000000,117,Chris Pratt,129,M,Chris Evans,237,M,Anna Faris,565,F,Zachary Quinto,647,M,Joel McHale,1132,M,Andy Samberg,1151,M
Ransom (1996),Ron (I) Howard,6.6,100234,1996,Crime,309492681,80000000,139,Mel Gibson,29,M,Liev Schreiber,879,M,Rene Russo,1332,F,Donnie Wahlberg,2442,M,Gary Sinise,2720,M,Dan Hedaya,4079,M
Peter's Friends (1992),Kenneth Branagh,7,8586,1992,Comedy,4058564,5000000,101,Sylvester Stallone,224,M,Hugh Laurie,888,M,Donald Trump,1196,M,Kenneth Branagh,1307,M,Stephen Fry,2382,M,Imelda Staunton,3489,F
Topsy-Turvy (1999),Mike (I) Leigh,7.4,10120,1999,Biography,6201757,10000000,154,Kevin McKidd,1181,M,Richard Coyle,1465,M,Andy Serkis,2141,M,Timothy Spall,2654,M,Jim Broadbent,2938,M,Dexter Fletcher,5124,M
Simon Birch (1998),Mark Steven Johnson,6.9,18520,1998,Comedy,18252684,30000000,114,Jim Carrey,406,M,Ashley Judd,1017,F,Joseph Mazzello,2022,M,Oliver Platt,3015,M,David Strathairn,3520,M,Dana Ivey,4550,F
Kidulthood (2006),Menhaj Huda,6.8,15081,2006,Crime,100056,600000,89,Nicholas Hoult,388,M,Rafe Spall,1941,M,Noel Clarke,3867,M,David Ajala,5095,M,Jaime Winstone,7069,F,Aml Ameen,7610,M
The New World (2005),Terrence Malick,6.7,71686,2005,Biography,30536013,30000000,150,Christian Bale,247,M,Colin Farrell,427,M,Ben Mendelsohn,1077,M,Christopher Plummer,1860,M,David Thewlis,1949,M,Eddie Marsan,2659,M
Playing by Heart (1998),Willard (I) Carroll,7.2,16666,1998,Comedy,3956212,14000000,121,Angelina Jolie,210,F,Sean Connery,687,M,Hilary Duff,870,F,Ryan Phillippe,1184,M,Ellen Burstyn,1721,F,Dennis Quaid,1751,M
Sex & Drugs & Rock & Roll (2010),Mat Whitecross,6.6,3414,2010,Biography,427956,2000000,115,Luke Evans,52,M,Naomie Harris,762,F,Tom Hughes,1654,M,Arthur Darvill,1974,M,Andy Serkis,2141,M,Ralph Ineson,2473,M
Vera Drake (2004),Mike (I) Leigh,7.7,20468,2004,Crime,3753806,11000000,125,Tom Ellis,127,M,Chris O'Dowd,1787,M,Eddie Marsan,2659,M,Jim Broadbent,2938,M,Imelda Staunton,3489,F,Elizabeth Berrington,4463,F
2 Days in New York (2012),Julie Delpy,6,12121,2012,Comedy,632824,8000000,96,Erin Darke,432,F,Julie Delpy,3702,F,Chris Rock,4182,M,Dylan Baker,5394,M,Vincent Gallo,6392,M,Brady Smith,6442,M
Munich (2005),Steven Spielberg,7.6,178920,2005,Drama,130358911,70000000,163,Daniel Craig,314,M,Ayelet Zurer,997,F,Eric Bana,1463,M,Geoffrey Rush,1529,M,Richard Brake,2943,M,Tom Wlaschiha,2996,M
Alex Cross (2012),Rob (I) Cohen,5.1,28547,2012,Action,34588412,35000000,101,Tyler Perry,586,M,John C. McGinley,599,M,Giancarlo Esposito,1960,M,Jean Reno,2214,M,Carmen Ejogo,2302,F,Matthew Fox,2537,M
The History Boys (2006),Nicholas Hytner,6.9,17902,2006,Comedy,2706659,2000000,109,Dominic Cooper,1167,M,James Corden,1865,M,Russell Tovey,2033,M,Samuel Barnett,2768,M,Stephen Campbell Moore,3031,M,Richard Griffiths,3209,M
Bedrooms and Hallways (1998),Rose Troche,6.5,2924,1998,Comedy,16459,3000000,92,Hugo Weaving,868,M,Kevin McKidd,1181,M,Jennifer Ehle,1605,F,James Purefoy,2162,M,Harriet Walter,3585,F,Tom Hollander,3748,M
22 Jump Street (2014),Phil Lord,7.1,264902,2014,Action,331333876,50000000,112,Dave Franco,245,M,Wyatt Russell,498,M,Channing Tatum,534,M,Anna Faris,565,F,Seth Rogen,603,M,Jonah Hill,665,M
Envy (2004),Barry (I) Levinson,4.8,26597,2004,Comedy,12181484,40000000,99,Rachel Weisz,358,F,Ben Stiller,963,M,Jack Black,985,M,Christopher Walken,1128,M,Amy Poehler,1275,F,Sam Lerner,4708,M
Hot Pursuit (1987),Steven Lisberger,5.8,2628,1987,Comedy,4215859,4000000,93,John Cusack,619,M,Ben Stiller,963,M,Keith David,2222,M,Robert Loggia,2695,M,Jerry Stiller,4104,M,Shelley Fabares,5943,F
The East (2013),Zal Batmanglij,6.8,42389,2013,Adventure,2268296,6500000,116,Toby Kebbell,339,M,Ellen Page,724,F,Julia Ormond,1609,F,Jason Ritter,2188,M,Aldis Hodge,2322,M,Shiloh Fernandez,2929,M
Once Around (1991),Lasse Hallström,6.5,3472,1991,Comedy,14851083,16000000,115,Laura San Giacomo,1291,F,Richard Dreyfuss,1356,M,Gena Rowlands,2845,F,Griffin Dunne,5229,M,Greg Germann,5266,M,Tim Guinee,6083,M
Nick of Time (1995),John Badham,6.3,32900,1995,Action,8169363,33000000,90,Johnny Depp,28,M,Christopher Walken,1128,M,Gloria Reuben,3845,F,Yul Vazquez,6958,M,Roma Maffia,8440,F,Peter Strauss,8786,M
Hollywood Homicide (2003),Ron Shelton,5.3,31570,2003,Action,30013346,75000000,116,Harrison Ford,471,M,Josh Hartnett,602,M,Dwight Yoakam,1382,M,Jennette McCurdy,1562,F,Keith David,2222,M,Lou Diamond Phillips,2471,M
Gattaca (1997),Andrew Niccol,7.8,223989,1997,Drama,3600000,36000000,106,Jude Law,479,M,Ethan Hawke,577,M,Uma Thurman,822,F,Xander Berkeley,2484,M,Elias Koteas,2548,M,Dean Norris,2629,M
Monsters Inc. (2001),Pete Docter,8.1,599213,2001,Adventure,562816256,115000000,92,Jennifer Tilly,840,F,Bonnie Hunt,1320,F,Steve Buscemi,1362,M,James Coburn,2409,M,Billy Crystal,2965,M,Wallace Shawn,3050,M
Multiplicity (1996),Harold Ramis,6,25051,1996,Comedy,34100000,45000000,117,Michael Keaton,740,M,Julie Bowen,1037,F,Brian Doyle-Murray,1597,M,Andie MacDowell,2606,F,Richard Masur,3159,M,Glenn Shadix,4053,M
The Whoopee Boys (1986),John Byrum,6.2,607,1986,Comedy,444746,9000000,88,Keith David,2222,M,Linda Fiorentino,2946,F,Michael O'Keefe,3697,M,Greg Germann,5266,M,Taylor Negron,5383,M,Dan O'Herlihy,6535,M
Shrek Forever After (2010),Mike (VI) Mitchell,6.4,140983,2010,Adventure,752600867,165000000,93,Jon Hamm,559,M,Eddie Murphy,721,M,Cameron Diaz,736,F,Lake Bell,1138,F,Mike Myers,1159,M,Kristen Schaal,1253,F
Soul Plane (2004),Jessy Terrero,4.4,18482,2004,Comedy,13922211,16000000,92,Arielle Kebbel,445,F,Kevin Hart,743,M,Missi Pyle,990,F,Terry Crews,2303,M,Snoop Dogg,4876,M,Mo'Nique,4918,F
Picture Perfect (1997),Glenn Gordon Caron,5.5,15835,1997,Comedy,2900000,10000000,105,Jennifer Aniston,177,F,Kaley Cuoco,326,F,Kevin Bacon,877,M,Faran Tahir,2804,M,Greg Grunberg,3201,M,Illeana Douglas,4572,F
Dark Places (2015),Gilles Paquet-Brenner,6.2,28928,2015,Drama,3500000,20000000,113,Christina Hendricks,235,F,Charlize Theron,253,F,Nicholas Hoult,388,M,Tye Sheridan,1261,M,Drea de Matteo,1427,F,Corey Stoll,1588,M
Breakin' All the Rules (2004),Daniel (I) Taplitz,5.5,4273,2004,Comedy,11827301,10000000,85,Gabrielle Union,568,F,Jennifer Esposito,1325,F,Bianca Lawson,2044,F,Jamie Foxx,2048,M,Peter MacNicol,2643,M,Morris Chestnut,2834,M
About Schmidt (2002),Alexander (I) Payne,7.2,108509,2002,Comedy,105834556,30000000,125,Dermot Mulroney,189,M,Jack Nicholson,468,M,Angela Lansbury,1905,F,June Squibb,5980,F,Len Cariou,7550,M,Howard Hesseman,7973,M
Jason Bourne (2016),Paul Greengrass,6.9,85012,2016,Action,207989474,120000000,123,Alicia Vikander,27,F,Matt Damon,268,M,Julia Stiles,356,F,Riz Ahmed,1267,M,Tommy Lee Jones,1444,M,Vincent Cassel,1505,M
Creation (2009/I),Jon Amiel,6.7,11765,2009,Biography,340611,10000000,108,Benedict Cumberbatch,6,M,Jennifer Connelly,229,F,Paul Bettany,1051,M,Jeremy Northam,1720,M,Toby Jones,2963,M,Jim Carter,5796,M
Third Person (2013),Paul Haggis,6.4,20898,2013,Drama,874805,28000000,137,Mila Kunis,76,F,James Franco,192,M,Maria Bello,312,F,Olivia Wilde,385,F,Liam Neeson,570,M,Kim Basinger,923,F
Light It Up (1999),Craig Bolotin,6,3137,1999,Drama,5871603,13000000,99,Rosario Dawson,354,F,Clifton Collins Jr.,404,M,Forest Whitaker,1800,M,Amy Landecker,2346,F,Judd Nelson,2588,M,Usher Raymond,4072,M
Henry's Crime (2010),Malcolm Venville,6,15641,2010,Comedy,101882,12000000,108,Keanu Reeves,169,M,Vera Farmiga,340,F,Peter Stormare,1137,M,Fisher Stevens,1209,M,Judy Greer,1242,F,James Caan,1790,M
Casper (1995),Brad Silberling,6,87918,1995,Animation,287928194,50000000,100,Mel Gibson,29,M,Clint Eastwood,267,M,Devon Sawa,408,M,Bill Pullman,1220,M,Dan Aykroyd,1699,M,Cathy Moriarty,2427,F
Dark Water (2005),Walter Salles,5.6,45528,2005,Drama,49483352,30000000,103,Jennifer Connelly,229,F,Tim Roth,1527,M,John C. Reilly,2501,M,Dougray Scott,3315,M,Pete Postlethwaite,4746,M,Perla Haney-Jardine,6060,F
Stand Up Guys (2012),Fisher Stevens,6.5,45664,2012,Comedy,3301046,15000000,95,Katheryn Winnick,156,F,Al Pacino,510,M,Julianna Margulies,1104,F,Christopher Walken,1128,M,Vanessa Ferlito,1301,F,Addison Timlin,1322,F
Wild at Heart (1990),David (I) Lynch,7.2,62429,1990,Comedy,14560247,9500000,125,Nicolas Cage,203,M,Sherilyn Fenn,587,F,Crispin Glover,1302,M,Willem Dafoe,1564,M,Isabella Rossellini,2045,F,Laura Dern,2133,F
Madonna: Truth or Dare (1991),Alek Keshishian,6.1,7322,1991,Documentary,29012935,4500000,120,Al Pacino,510,M,Kevin Costner,716,M,Warren Beatty,1084,M,Antonio Banderas,1686,M,Mandy Patinkin,1722,M,Madonna,1973,F
Carlito's Way (1993),Brian De Palma,7.9,165219,1993,Crime,63848322,30000000,144,Viggo Mortensen,270,M,Al Pacino,510,M,Sean Penn,1199,M,John Leguizamo,1748,M,Penelope Ann Miller,2454,F,Adrian Pasdar,3191,M
Spy Kids 2: Island of Lost Dreams (2002),Robert (I) Rodriguez,5.1,45630,2002,Action,119723358,38000000,100,Carla Gugino,473,F,Alexa PenaVega,738,F,Taylor Momsen,826,F,Danny Trejo,851,M,Emily Osment,1343,F,Steve Buscemi,1362,M
Factory Girl (2006),George Hickenlooper,6.4,18521,2006,Biography,2581387,7000000,99,Mary Elizabeth Winstead,154,F,Hayden Christensen,370,M,Patrick Wilson,668,M,Mena Suvari,778,F,Sienna Miller,838,F,Cary Elwes,1002,M
The Powerpuff Girls Movie (2002),Craig McCracken,6.5,7832,2002,Action,11411644,11000000,73,Elizabeth Daily,1327,F,Tara Strong,3197,F,Grey Griffin,3933,F,Tom Kenny,4016,M,Frank Welker,4150,M,Kevin Michael Richardson,5586,M
The Bachelor (1999),Gary Sinyor,5,14829,1999,Comedy,36822378,51000000,101,Jennifer Esposito,1325,F,Brooke Shields,1455,F,James Cromwell,1645,M,Sarah Silverman,1953,F,Chris O'Donnell,2103,M,Mariah Carey,2117,F
Les Misérables (2012),Tom (II) Hooper,7.6,247346,2012,Drama,441809770,61000000,158,Eddie Redmayne,64,M,Helena Bonham Carter,180,F,Hugh Jackman,252,M,Anne Hathaway,344,F,Amanda Seyfried,470,F,Russell Crowe,633,M
The Darkness (2016/I),Greg McLean,4.3,5924,2016,Horror,10732841,4000000,92,Kevin Bacon,877,M,David Mazouz,1157,M,Ming-Na Wen,1591,F,Radha Mitchell,1638,F,Parker Mack,4933,M,Matt Walsh,5487,M
Liberty Heights (1999),Barry (I) Levinson,7.1,5827,1999,Drama,3732398,11000000,122,Ben Foster,134,M,David Krumholtz,595,M,Adrien Brody,1163,M,Kiersten Warren,1296,F,Shane West,1478,M,Justin Chambers,1524,M
Rise of the Planet of the Apes (2011),Rupert Wyatt,7.6,409257,2011,Action,482860185,93000000,105,James Franco,192,M,Tom Felton,223,M,John Lithgow,872,M,Andy Serkis,2141,M,Brian Cox,2210,M,Tracy Spiridakos,2270,F
Burke and Hare (2010),John (I) Landis,6.2,16513,2010,Comedy,4349187,10000000,91,Tim Curry,85,M,Isla Fisher,117,F,Simon Pegg,528,M,Christopher Lee,616,M,Jenny Agutter,2086,F,Andy Serkis,2141,M
The Four Feathers (2002),Shekhar Kapur,6.5,28503,2002,Adventure,18306166,35000000,125,Heath Ledger,435,M,Wes Bentley,558,M,Michael Sheen,770,M,Rupert Penry-Jones,935,M,Djimon Hounsou,2067,M,James Hillier,3095,M
Fantastic Mr. Fox (2009),Wes (I) Anderson,7.8,142077,2009,Adventure,46471023,40000000,87,Bill Murray,195,M,Meryl Streep,578,F,George Clooney,682,M,Wes Anderson,886,M,Helen McCrory,1044,F,Adrien Brody,1163,M
The Last of the Mohicans (1992),Michael (I) Mann,7.8,114975,1992,Action,75505856,40000000,112,Daniel Day-Lewis,651,M,Jared Harris,675,M,Madeleine Stowe,1990,F,Colm Meaney,4546,M,Pete Postlethwaite,4746,M,Dylan Baker,5394,M
Midnight Special (2016),Jeff (VI) Nichols,6.7,40019,2016,Adventure,3707794,18000000,112,Joel Edgerton,392,M,Kirsten Dunst,444,F,Adam Driver,593,M,Michael Shannon,1076,M,Kerry Cahill,3132,F,Sam Shepard,3523,M
Punisher: War Zone (2008),Lexi (I) Alexander,6,49693,2008,Action,10100036,35000000,103,Julie Benz,784,F,Dominic West,1314,M,Ray Stevenson,1746,M,Doug Hutchison,3150,M,Wayne Knight,3471,M,Dash Mihok,4530,M
In a World... (2013),Lake Bell,6.7,26371,2013,Comedy,2962542,1000000,93,Talulah Riley,310,F,Carly Chaikin,346,F,Geena Davis,502,F,Cameron Diaz,736,F,Lake Bell,1138,F,Nick Offerman,1172,M
Harry Brown (2009),Daniel (II) Barber,7.2,75078,2009,Action,1818681,7300000,97,Jack O'Connell,1146,M,Joseph Gilgun,1467,M,Michael Caine,1633,M,Emily Mortimer,1795,F,David Bradley,2395,M,Iain Glen,2507,M
Leaves of Grass (2009),Tim Blake Nelson,6.5,24230,2009,Comedy,68009,9000000,105,Susan Sarandon,524,F,Edward Norton,664,M,Keri Russell,885,F,Maggie Siff,1065,F,Melanie Lynskey,1123,F,Richard Dreyfuss,1356,M
Friday Night Lights (2004),Peter (I) Berg,7.3,47764,2004,Action,61188085,30000000,118,Amber Heard,160,F,Jay Hernandez,383,M,Billy Bob Thornton,433,M,Garrett Hedlund,646,M,Lucas Black,1384,M,Connie Britton,1583,F
Summer of Sam (1999),Spike Lee,6.6,31493,1999,Crime,19283782,22000000,142,Kim Director,863,F,Adrien Brody,1163,M,Jennifer Esposito,1325,F,John Turturro,1451,M,John Leguizamo,1748,M,Mira Sorvino,1768,F
The Distinguished Gentleman (1992),Jonathan (I) Lynn,5.8,12417,1992,Comedy,46666502,50000000,112,Eddie Murphy,721,M,James Garner,2567,M,Chi McBride,5499,M,Victoria Rowell,5555,F,J.D. Williams,6771,M,Kevin McCarthy,8836,M
Diana (2013),Oliver Hirschbiegel,5.5,14936,2013,Biography,193531,15000000,113,Naomi Watts,423,F,Naveen Andrews,4029,M,Juliet Stevenson,4366,F,Art Malik,5404,M,Geraldine James,7712,F,Cas Anvar,8064,M
Shall We Dance (2004),Peter Chelsom,6.1,35941,2004,Comedy,170128460,50000000,106,Susan Sarandon,524,F,Richard Gere,1368,M,Stanley Tucci,1523,M,Bobby Cannavale,2042,M,Richard Jenkins,3872,M,Nick Cannon,5250,M
The Cooler (2003),Wayne (I) Kramer,7,28878,2003,Crime,8243880,3200000,101,Maria Bello,312,F,William H. Macy,1016,M,Alec Baldwin,1207,M,Estella Warren,2913,F,Ron Livingston,3220,M,Ellen Greene,3608,F
Tremors (1990),Ron (I) Underwood,7.2,91999,1990,Comedy,48572000,11000000,96,Kevin Bacon,877,M,Ariana Richards,2591,F,Reba McEntire,3684,F,Fred Ward,4936,M,Michael Gross,5318,M,Finn Carter,6297,F
